1,485.0
2,540.0
3,0.0
1,496.0
2,537.0
3,514.0
4,498.0
5,520.0
6,483.0
7,515.0
8,515.0
9,513.0
10,499.0
11,495.0
12,552.0
13,544.0
14,527.0
15,608.0
16,560.0
17,546.0
18,533.0
19,504.0
20,558.0
21,543.0
22,520.0
23,524.0
24,484.0
25,486.0
26,464.0
27,458.0
28,530.0
29,440.0
30,476.0
31,473.0
32,499.0
33,505.0
34,463.0
35,496.0
1,453.0
2,464.0
3,384.0
4,548.0
1,428.0
1,444.0
2,367.0
3,427.0
4,377.0
5,472.0
6,478.0
1,322.0
2,454.0
3,413.0
4,569.0
5,384.0
6,463.0
7,501.0
8,592.0
9,458.0
10,462.0
11,525.0
12,400.0
13,474.0
14,435.0
15,569.0
16,591.0
17,539.0
18,592.0
19,448.0
20,548.0
21,574.0
22,429.0
23,656.0
24,467.0
25,412.0
26,530.0
27,425.0
28,602.0
29,604.0
30,641.0
31,582.0
32,696.0
33,819.0
34,619.0
35,634.0
36,981.0
37,1014.0
38,659.0
39,1131.0
40,1129.0
41,900.0
42,1201.0
43,1226.0
44,1256.0
45,1343.0
46,1292.0
47,1177.0
48,1282.0
49,1329.0
50,1295.0
51,1275.0
52,1452.0
53,1388.0
54,1540.0
55,1467.0
56,1500.0
57,1608.0
58,1592.0
59,1492.0
60,1537.0
61,1457.0
62,1665.0
63,1641.0
64,1516.0
65,1540.0
66,1607.0
67,1608.0
68,1566.0
69,1637.0
70,1614.0
71,1553.0
72,1583.0
73,1653.0
74,1448.0
75,1606.0
76,1731.0
77,1154.0
78,1355.0
79,1293.0
80,1091.0
81,1171.0
82,1271.0
83,1246.0
84,1219.0
85,1192.0
86,1076.0
87,1298.0
88,1239.0
89,1040.0
90,1392.0
91,1335.0
92,1226.0
93,1199.0
94,1631.0
95,1327.0
96,1366.0
97,1333.0
98,1261.0
99,956.0
100,1015.0
101,1037.0
102,1070.0
103,1595.0
104,0.0
105,1.0
106,12.0
107,9.0
108,10.0
109,7.0
110,5.0
111,15.0
112,6.0
113,12.0
114,8.0
115,7.0
116,4.0
117,4.0
118,6.0
119,11.0
120,5.0
121,13.0
122,5.0
123,6.0
124,6.0
125,8.0
126,12.0
127,5.0
128,18.0
129,12.0
130,8.0
131,14.0
132,6.0
133,9.0
134,8.0
135,12.0
136,11.0
137,4.0
138,9.0
139,8.0
140,5.0
141,8.0
142,11.0
143,15.0
144,5.0
145,14.0
146,10.0
147,10.0
148,12.0
149,9.0
